Frequency (Hz)	Level (dB)
11541.796875	-60.087769
11584.863281	-60.140015
11627.929688	-60.400467
11670.996094	-60.572189
11714.062500	-60.300953
11757.128906	-60.006390
11800.195312	-60.269829
11843.261719	-60.668167
11886.328125	-60.556808
11929.394531	-60.454899
11972.460938	-61.405880
12015.527344	-62.116127
12058.593750	-62.224316
12101.660156	-62.188629
12144.726562	-62.128490
12187.792969	-62.242092
12230.859375	-62.078930
12273.925781	-62.657406
12316.992188	-62.651146
12360.058594	-62.377739
12403.125000	-62.712673
12446.191406	-62.536110
12489.257812	-61.622200
12532.324219	-62.116283
12575.390625	-62.822968
12618.457031	-61.973694
12661.523438	-61.690563
12704.589844	-62.486355
12747.656250	-62.831768
12790.722656	-62.649532
12833.789062	-62.179501
12876.855469	-61.826756
12919.921875	-61.887978
12962.988281	-62.204582
13006.054688	-61.963501
13049.121094	-61.445827
13092.187500	-61.516956
13135.253906	-62.072174
13178.320312	-61.931030
13221.386719	-61.709053
13264.453125	-62.144367
13307.519531	-62.704449
13350.585938	-62.620213
13393.652344	-62.210983
13436.718750	-61.866283
13479.785156	-61.561996
13522.851562	-61.087372
13565.917969	-61.046482
13608.984375	-61.404324
13652.050781	-62.144047
13695.117188	-62.703953
13738.183594	-63.385525
13781.250000	-63.857391
13824.316406	-63.692791
13867.382812	-63.838856
13910.449219	-64.015907
13953.515625	-63.776878
13996.582031	-63.708378
14039.648438	-64.215958
14082.714844	-64.124832
14125.781250	-64.215302
14168.847656	-63.316227
14211.914062	-63.238525
14254.980469	-64.399475
14298.046875	-64.833305
14341.113281	-65.118210
14384.179688	-65.616531
14427.246094	-65.880951
14470.312500	-65.962631
14513.378906	-66.101830
14556.445312	-66.279419
14599.511719	-66.436287
14642.578125	-66.309059
14685.644531	-65.921494
14728.710938	-65.707588
14771.777344	-66.499168
14814.843750	-66.643288
14857.910156	-66.744240
14900.976562	-66.820122
14944.042969	-67.379662
14987.109375	-68.221451
15030.175781	-68.278488
15073.242188	-68.200867
15116.308594	-68.894989
15159.375000	-70.633698
15202.441406	-71.822136
15245.507812	-72.132729
15288.574219	-72.452736
15331.640625	-72.529709
15374.707031	-72.034218
15417.773438	-71.558197
15460.839844	-71.758850
15503.906250	-72.427689
15546.972656	-72.744545
15590.039062	-72.768326
15633.105469	-73.597458
15676.171875	-74.569908
15719.238281	-75.900421
15762.304688	-80.204948
15805.371094	-84.439346
15848.437500	-88.330643
15891.503906	-96.486366
15934.570312	-101.895447
15977.636719	-102.043968
16020.703125	-103.565010
16063.769531	-107.306374
16106.835938	-112.483292
16149.902344	-119.763809
16192.968750	-126.261002
16236.035156	-131.113815
16279.101562	-133.566284
16322.167969	-137.344162
16365.234375	-138.949402
16408.300781	-136.495621
16451.367188	-127.409523
16494.433594	-123.003029
16537.500000	-124.593300
16580.566406	-121.736961
16623.632812	-124.773613
16666.699219	-131.448212
16709.765625	-136.952377
16752.832031	-135.597687
16795.898438	-133.033264
16838.964844	-135.763977
16882.031250	-137.443497
16925.097656	-134.088898
16968.164062	-131.121033
17011.230469	-131.119537
17054.296875	-134.413254
17097.363281	-132.686371
17140.429688	-126.203468
17183.496094	-124.668434
17226.562500	-127.825546
17269.628906	-126.049629
17312.695312	-128.092117
17355.761719	-126.358238
17398.828125	-126.321053
17441.894531	-122.297859
17484.960938	-124.693474
17528.027344	-133.273178
17571.093750	-139.048111
17614.160156	-134.695145
17657.226562	-134.375153
17700.292969	-141.076828
17743.359375	-142.243820
17786.425781	-140.315338
17829.492188	-129.595322
17872.558594	-123.804489
17915.625000	-128.042175
17958.691406	-132.219513
18001.757812	-133.508347
18044.824219	-135.649048
18087.890625	-131.815521
18130.957031	-131.728531
18174.023438	-131.692444
18217.089844	-133.473572
18260.156250	-137.607361
18303.222656	-132.350571
18346.289062	-127.658134
18389.355469	-128.883194
18432.421875	-133.377258
18475.488281	-130.193375
18518.554688	-125.528931
18561.621094	-124.741119
18604.687500	-126.191338
18647.753906	-127.692009
18690.820312	-129.760620
18733.886719	-128.698944
18776.953125	-125.642288
18820.019531	-121.089828
18863.085938	-123.809662
18906.152344	-130.971680
18949.218750	-135.927734
18992.285156	-130.465118
19035.351562	-129.278015
19078.417969	-135.007034
19121.484375	-139.633881
19164.550781	-138.004272
19207.617188	-128.993698
19250.683594	-123.992706
19293.750000	-126.868973
19336.816406	-127.041832
19379.882812	-133.343933
19422.949219	-138.225769
19466.015625	-139.801163
19509.082031	-139.310394
19552.148438	-134.525299
19595.214844	-137.047379
19638.281250	-136.145203
19681.347656	-127.449280
19724.414062	-122.491501
19767.480469	-121.925697
19810.546875	-127.630867
19853.613281	-128.369186
19896.679688	-129.683685
19939.746094	-125.930191
19982.812500	-125.195450
20025.878906	-128.818756
20068.945312	-129.717590
20112.011719	-125.710205
20155.078125	-128.631287
20198.144531	-128.067337
20241.210938	-130.074310
20284.277344	-139.365677
20327.343750	-139.543228
20370.410156	-132.931152
20413.476562	-130.323685
20456.542969	-136.543854
20499.609375	-135.126816
20542.675781	-130.482101
20585.742188	-128.610168
20628.808594	-123.905922
20671.875000	-128.036011
20714.941406	-135.014618
20758.007812	-133.047607
20801.074219	-134.019180
20844.140625	-137.810272
20887.207031	-136.693192
20930.273438	-135.199127
20973.339844	-136.635071
21016.406250	-133.986115
21059.472656	-133.780075
21102.539062	-133.805634
21145.605469	-133.094208
21188.671875	-123.857483
21231.738281	-119.563866
21274.804688	-122.443748
21317.871094	-123.212036
21360.937500	-125.597847
21404.003906	-126.953796
21447.070312	-128.672195
21490.136719	-125.399689
21533.203125	-127.849510
21576.269531	-123.978790
21619.335938	-125.403725
21662.402344	-131.545883
21705.468750	-134.091431
21748.535156	-135.702637
21791.601562	-134.349640
21834.667969	-140.001999
21877.734375	-138.774414
21920.800781	-132.928772
21963.867188	-126.740158
22006.933594	-123.398781
